nº,data,viés,Período de vigência,Meta SELIC,TBAN,Taxa SELIC_%,Taxa SELIC_%_aa
245º,16/03/2022,,17/03/2022 -,"11,75",,,
244º,02/02/2022,,03/02/2022 - 16/03/2022,"10,75",,"1,13","10,65"
243º,08/12/2021,,09/12/2021 - 02/02/2022,"9,25",,"1,40","9,15"
242º,27/10/2021,,28/10/2021 - 08/12/2021,"7,75",,"0,82","7,65"
241º,22/09/2021,,23/09/2021 - 27/10/2021,"6,25",,"0,57","6,15"
240º,04/08/2021,,05/08/2021 - 22/09/2021,"5,25",,"0,68","5,15"
239º,16/06/2021,,17/06/2021 - 04/08/2021,"4,25",,"0,57","4,15"
238º,05/05/2021,,06/05/2021 - 16/06/2021,"3,50",,"0,39","3,40"
237º,17/03/2021,,18/03/2021 - 05/05/2021,"2,75",,"0,34","2,65"
236º,20/01/2021,,21/01/2021 - 17/03/2021,"2,00",,"0,28","1,90"
235º,09/12/2020,,10/12/2020 - 20/01/2021,"2,00",,"0,21","1,90"
234º,28/10/2020,,29/10/2020 - 09/12/2020,"2,00",,"0,22","1,90"
233º,16/09/2020,,17/09/2020 - 28/10/2020,"2,00",,"0,22","1,90"
232º,05/08/2020,,06/08/2020 - 16/09/2020,"2,00",,"0,22","1,90"
231º,17/06/2020,,18/06/2020 - 05/08/2020,"2,25",,"0,30","2,15"
230º,06/05/2020,,07/05/2020 - 17/06/2020,"3,00",,"0,32","2,90"
229º,18/03/2020,,19/03/2020 - 06/05/2020,"3,75",,"0,46","3,65"
228º,05/02/2020,,06/02/2020 - 18/03/2020,"4,25",,"0,45","4,15"
227º,11/12/2019,,12/12/2019 - 05/02/2020,"4,50",,"0,65","4,40"
226º,30/10/2019,,31/10/2019 - 11/12/2019,"5,00",,"0,55","4,90"
225º,18/09/2019,,19/09/2019 - 30/10/2019,"5,50",,"0,63","5,40"
224º,31/07/2019,,01/08/2019 - 18/09/2019,"6,00",,"0,80","5,90"
223º,19/06/2019,,21/06/2019 - 31/07/2019,"6,50",,"0,72","6,40"
222º,08/05/2019,,09/05/2019 - 20/06/2019,"6,50",,"0,74","6,40"
221º,20/03/2019,,21/03/2019 - 08/05/2019,"6,50",,"0,82","6,40"
220º,06/02/2019,,07/02/2019 - 20/03/2019,"6,50",,"0,69","6,40"
219º,12/12/2018,,13/12/2018 - 06/02/2019,"6,50",,"0,94","6,40"
218º,31/10/2018,,01/11/2018 - 12/12/2018,"6,50",,"0,69","6,40"
217º,19/09/2018,,20/09/2018 - 31/10/2018,"6,50",,"0,72","6,40"
216º,01/08/2018,,02/08/2018 - 19/09/2018,"6,50",,"0,84","6,40"
215º,20/06/2018,,21/06/2018 - 01/08/2018,"6,50",,"0,74","6,40"
214º,16/05/2018,,17/05/2018 - 20/06/2018,"6,50",,"0,59","6,40"
213º,21/03/2018,,22/03/2018 - 16/05/2018,"6,50",,"0,94","6,40"
212º,07/02/2018,,08/02/2018 - 21/03/2018,"6,75",,"0,72","6,65"
211º,06/12/2017,,07/12/2017 - 07/02/2018,"7,00",,"1,15","6,90"
210º,25/10/2017,,26/10/2017 - 06/12/2017,"7,50",,"0,80","7,40"
209º,06/09/2017,,08/09/2017 - 25/10/2017,"8,25",,"1,03","8,15"
208º,26/07/2017,,27/07/2017 - 06/09/2017,"9,25",,"1,05","9,15"
207º,31/05/2017,,01/06/2017 - 26/07/2017,"10,25",,"1,51","10,15"
206º,12/04/2017,,13/04/2017 - 31/05/2017,"11,25",,"1,35","11,15"
205º,22/02/2017,,23/02/2017 - 12/04/2017,"12,25",,"1,51","12,15"
204º,11/01/2017,,12/01/2017 - 22/02/2017,"13,00",,"1,45","12,90"
203º,30/11/2016,,01/12/2016 - 11/01/2017,"13,75",,"1,53","13,65"
202º,19/10/2016,,20/10/2016 - 30/11/2016,"14,00",,"1,46","13,90"
201º,31/08/2016,,01/09/2016 - 19/10/2016,"14,25",,"1,75","14,15"
200º,20/07/2016,,21/07/2016 - 31/08/2016,"14,25",,"1,59","14,15"
199º,08/06/2016,,09/06/2016 - 20/07/2016,"14,25",,"1,59","14,15"
198º,27/04/2016,,28/04/2016 - 08/06/2016,"14,25",,"1,53","14,15"
197º,02/03/2016,,03/03/2016 - 27/04/2016,"14,25",,"2,02","14,15"
196º,20/01/2016,,21/01/2016 - 02/03/2016,"14,25",,"1,48","14,15"
195º,25/11/2015,,26/11/2015 - 20/01/2016,"14,25",,"2,02","14,15"
194º,21/10/2015,,22/10/2015 - 25/11/2015,"14,25",,"1,27","14,15"
193º,02/09/2015,,03/09/2015 - 21/10/2015,"14,25",,"1,75","14,15"
192º,29/07/2015,,30/07/2015 - 02/09/2015,"14,25",,"1,32","14,15"
191º,03/06/2015,,04/06/2015 - 29/07/2015,"13,75",,"2,00","13,65"
190º,29/04/2015,,30/04/2015 - 03/06/2015,"13,25",,"1,18","13,15"
189º,04/03/2015,,05/03/2015 - 29/04/2015,"12,75",,"1,81","12,65"
188º,21/01/2015,,22/01/2015 - 04/03/2015,"12,25",,"1,28","12,15"
187º,03/12/2014,,04/12/2014 - 21/01/2015,"11,75",,"1,45","11,65"
186º,29/10/2014,,30/10/2014 - 03/12/2014,"11,25",,"1,05","11,15"
185º,03/09/2014,,04/09/2014 - 29/10/2014,"11,00",,"1,66","10,90"
184º,16/07/2014,,17/07/2014 - 03/09/2014,"11,00",,"1,45","10,90"
183º,28/05/2014,,29/05/2014 - 16/07/2014,"11,00",,"1,41","10,90"
182º,02/04/2014,,03/04/2014 - 28/05/2014,"11,00",,"1,53","10,90"
181º,26/02/2014,,27/02/2014 - 02/04/2014,"10,75",,"0,93","10,65"
180º,15/01/2014,,16/01/2014 - 26/02/2014,"10,50",,"1,18","10,40"
179º,27/11/2013,,28/11/2013 - 15/01/2014,"10,00",,"1,24","9,90"
178º,09/10/2013,,10/10/2013 - 27/11/2013,"9,50",,"1,22","9,40"
177º,28/08/2013,,29/08/2013 - 09/10/2013,"9,00",,"1,02","8,90"
176º,10/07/2013,,11/07/2013 - 28/08/2013,"8,50",,"1,13","8,40"
175º,29/05/2013,,30/05/2013 - 10/07/2013,"8,00",,"0,88","7,90"
174º,17/04/2013,,18/04/2013 - 29/05/2013,"7,50",,"0,82","7,40"
173º,06/03/2013,,07/03/2013 - 17/04/2013,"7,25",,"0,80","7,16"
172º,16/01/2013,,17/01/2013 - 06/03/2013,"7,25",,"0,90","7,12"
171º,28/11/2012,,29/11/2012 - 16/01/2013,"7,25",,"0,91","7,14"
170º,10/10/2012,,11/10/2012 - 28/11/2012,"7,25",,"0,88","7,14"
169º,29/08/2012,,30/08/2012 - 10/10/2012,"7,50",,"0,82","7,39"
168º,11/07/2012,,12/07/2012 - 29/08/2012,"8,00",,"1,06","7,89"
167º,30/05/2012,,31/05/2012 - 11/07/2012,"8,50",,"0,93","8,39"
166º,18/04/2012,,19/04/2012 - 30/05/2012,"9,00",,"0,99","8,90"
165º,07/03/2012,,08/03/2012 - 18/04/2012,"9,75",,"1,07","9,65"
164º,18/01/2012,,19/01/2012 - 07/03/2012,"10,50",,"1,30","10,40"
163º,30/11/2011,,01/12/2011 - 18/01/2012,"11,00",,"1,45","10,90"
162º,19/10/2011,,20/10/2011 - 30/11/2011,"11,50",,"1,21","11,40"
161º,31/08/2011,,01/09/2011 - 19/10/2011,"12,00",,"1,48","11,90"
160º,20/07/2011,,21/07/2011 - 31/08/2011,"12,50",,"1,40","12,42"
159º,08/06/2011,,09/06/2011 - 20/07/2011,"12,25",,"1,33","12,17"
158º,20/04/2011,,21/04/2011 - 08/06/2011,"12,00",,"1,49","11,92"
157º,02/03/2011,,03/03/2011 - 20/04/2011,"11,75",,"1,46","11,67"
156º,19/01/2011,,20/01/2011 - 02/03/2011,"11,25",,"1,27","11,17"
155º,08/12/2010,,09/12/2010 - 19/01/2011,"10,75",,"1,21","10,66"
154º,20/10/2010,,21/10/2010 - 08/12/2010,"10,75",,"1,34","10,66"
153º,01/09/2010,,02/09/2010 - 20/10/2010,"10,75",,"1,34","10,66"
152º,21/07/2010,,22/07/2010 - 01/09/2010,"10,75",,"1,21","10,66"
151º,09/06/2010,,10/06/2010 - 21/07/2010,"10,25",,"1,16","10,16"
150º,28/04/2010,,29/04/2010 - 09/06/2010,"9,50",,"1,04","9,40"
149º,17/03/2010,,18/03/2010 - 28/04/2010,"8,75",,"0,93","8,65"
148º,27/01/2010,,28/01/2010 - 17/03/2010,"8,75",,"1,09","8,65"
147º,09/12/2009,,10/12/2009 - 27/01/2010,"8,75",,"1,09","8,65"
146º,21/10/2009,,22/10/2009 - 09/12/2009,"8,75",,"1,13","8,65"
145º,02/09/2009,,03/09/2009 - 21/10/2009,"8,75",,"1,09","8,65"
144º,22/07/2009,,23/07/2009 - 02/09/2009,"8,75",,"0,99","8,65"
143º,10/06/2009,,11/06/2009 - 22/07/2009,"9,25",,"1,01","9,16"
142º,29/04/2009,,30/04/2009 - 10/06/2009,"10,25",,"1,12","10,16"
141º,11/03/2009,,12/03/2009 - 29/04/2009,"11,25",,"1,40","11,16"
140º,21/01/2009,,22/01/2009 - 11/03/2009,"12,75",,"1,57","12,66"
139º,10/12/2008,,11/12/2008 - 21/01/2009,"13,75",,"1,43","13,66"
138º,29/10/2008,,30/10/2008 - 10/12/2008,"13,75",,"1,53","13,65"
137º,10/09/2008,,11/09/2008 - 29/10/2008,"13,75",,"1,79","13,66"
136º,23/07/2008,,24/07/2008 - 10/09/2008,"13,00",,"1,70","12,92"
135º,04/06/2008,,05/06/2008 - 23/07/2008,"12,25",,"1,61","12,17"
134º,16/04/2008,,17/04/2008 - 04/06/2008,"11,75",,"1,41","11,63"
133º,05/03/2008,,06/03/2008 - 16/04/2008,"11,25",,"1,23","11,18"
132º,23/01/2008,,24/01/2008 - 05/03/2008,"11,25",,"1,18","11,18"
131º,05/12/2007,,06/12/2007 - 23/01/2008,"11,25",,"1,40","11,18"
130º,17/10/2007,,18/10/2007 - 05/12/2007,"11,25",,"1,40","11,18"
129º,05/09/2007,,06/09/2007 - 17/10/2007,"11,25",,"1,18","11,18"
128º,18/07/2007,,19/07/2007 - 05/09/2007,"11,50",,"1,51","11,43"
127º,06/06/2007,,07/06/2007 - 18/07/2007,"12,00",,"1,31","11,93"
126º,18/04/2007,,19/04/2007 - 06/06/2007,"12,50",,"1,59","12,43"
125º,07/03/2007,,08/03/2007 - 18/04/2007,"12,75",,"1,38","12,68"
124º,24/01/2007,,25/01/2007 - 07/03/2007,"13,00",,"1,36","12,93"
123º,29/11/2006,,30/11/2006 - 24/01/2007,"13,25",,"1,89","13,19"
122º,17/10/2006,,18/10/2006 - 29/11/2006,"13,75",,"1,43","13,67"
121º,30/08/2006,,31/08/2006 - 17/10/2006,"14,25",,"1,75","14,17"
120º,19/07/2006,,20/07/2006 - 30/08/2006,"14,75",,"1,64","14,67"
119º,31/05/2006,,01/06/2006 - 19/07/2006,"15,25",,"1,92","15,18"
118º,19/04/2006,,20/04/2006 - 31/05/2006,"15,75",,"1,63","15,70"
117º,08/03/2006,,09/03/2006 - 19/04/2006,"16,50",,"1,77","16,50"
116º,18/01/2006,,19/01/2006 - 08/03/2006,"17,25",,"2,11","17,26"
115º,14/12/2005,,15/12/2005 - 18/01/2006,"18,00",,"1,66","18,00"
114º,23/11/2005,,24/11/2005 - 14/12/2005,"18,50",,"1,01","18,49"
113º,19/10/2005,,20/10/2005 - 23/11/2005,"19,00",,"1,60","18,98"
112º,14/09/2005,,15/09/2005 - 19/10/2005,"19,50",,"1,71","19,48"
111º,17/08/2005,,18/08/2005 - 14/09/2005,"19,75",,"1,37","19,74"
110º,20/07/2005,,21/07/2005 - 17/08/2005,"19,75",,"1,44","19,75"
109º,15/06/2005,,16/06/2005 - 20/07/2005,"19,75",,"1,80","19,73"
108º,18/05/2005,,19/05/2005 - 15/06/2005,"19,75",,"1,37","19,75"
107º,20/04/2005,,22/04/2005 - 18/05/2005,"19,50",,"1,35","19,51"
106º,16/03/2005,,17/03/2005 - 21/04/2005,"19,25",,"1,69","19,24"
105º,16/02/2005,,17/02/2005 - 16/03/2005,"18,75",,"1,37","18,75"
104º,19/01/2005,,20/01/2005 - 16/02/2005,"18,25",,"1,20","18,25"
103º,15/12/2004,,16/12/2004 - 19/01/2005,"17,75",,"1,63","17,74"
102º,17/11/2004,,18/11/2004 - 15/12/2004,"17,25",,"1,27","17,23"
101º,19/10/2004,,20/10/2004 - 17/11/2004,"16,75",,"1,11","16,74"
100º,15/09/2004,,16/09/2004 - 19/10/2004,"16,25",,"1,44","16,23"
99º,18/08/2004,,19/08/2004 - 15/09/2004,"16,00",,"1,12","15,90"
98º,21/07/2004,,22/07/2004 - 18/08/2004,"16,00",,"1,17","15,83"
97º,16/06/2004,,17/06/2004 - 21/07/2004,"16,00",,"1,46","15,79"
96º,19/05/2004,,20/05/2004 - 16/06/2004,"16,00",,"1,11","15,79"
95º,14/04/2004,,15/04/2004 - 19/05/2004,"16,00",,"1,41","15,80"
94º,17/03/2004,,18/03/2004 - 14/04/2004,"16,25",,"1,13","16,09"
93º,18/02/2004,,19/02/2004 - 17/03/2004,"16,50",,"1,08","16,28"
92º,21/01/2004,,22/01/2004 - 18/02/2004,"16,50",,"1,21","16,30"
91º,17/12/2003,,18/12/2003 - 21/01/2004,"16,50",,"1,39","16,32"
90º,19/11/2003,,20/11/2003 - 17/12/2003,"17,50",,"1,28","17,32"
89º,22/10/2003,,23/10/2003 - 19/11/2003,"19,00",,"1,38","18,84"
88º,17/09/2003,,18/09/2003 - 22/10/2003,"20,00",,"1,81","19,84"
87º,20/08/2003,,21/08/2003 - 17/09/2003,"22,00",,"1,58","21,84"
86º,23/07/2003,,24/07/2003 - 20/08/2003,"24,50",,"1,74","24,32"
85º,18/06/2003,,19/06/2003 - 23/07/2003,"26,00",,"2,21","25,74"
84º,21/05/2003,,22/05/2003 - 18/06/2003,"26,50",,"1,87","26,27"
83º,23/04/2003,,24/04/2003 - 21/05/2003,"26,50",,"1,78","26,32"
82º,19/03/2003,alta,20/03/2003 - 23/04/2003,"26,50",,"2,16","26,32"
81º,19/02/2003,,20/02/2003 - 19/03/2003,"26,50",,"1,68","26,30"
80º,22/01/2003,,23/01/2003 - 19/02/2003,"25,50",,"1,81","25,36"
79º,18/12/2002,,19/12/2002 - 22/01/2003,"25,00",,"2,05","24,90"
78º,20/11/2002,,21/11/2002 - 18/12/2002,"22,00",,"1,58","21,90"
77º,22/10/2002,,23/10/2002 - 20/11/2002,"21,00",,"1,44","20,90"
76º ex.,14/10/2002,,15/10/2002 - 22/10/2002,"21,00",,"0,53","20,90"
75º,18/09/2002,,19/09/2002 - 14/10/2002,"18,00",,"1,18","17,90"
74º,21/08/2002,baixa,22/08/2002 - 18/09/2002,"18,00",,"1,31","17,87"
73º,17/07/2002,,18/07/2002 - 21/08/2002,"18,00",,"1,64","17,86"
72º,19/06/2002,baixa,20/06/2002 - 17/07/2002,"18,50",,"1,35","18,40"
71º,22/05/2002,,23/05/2002 - 19/06/2002,"18,50",,"1,26","18,07"
70º,17/04/2002,,18/04/2002 - 22/05/2002,"18,50",,"1,62","18,35"
69º,20/03/2002,,21/03/2002 - 17/04/2002,"18,50",,"1,28","18,45"
68º,20/02/2002,,21/02/2002 - 20/03/2002,"18,75",,"1,38","18,80"
67º,23/01/2002,,24/01/2002 - 20/02/2002,"19,00",,"1,25","19,05"
66º,19/12/2001,,20/12/2001 - 23/01/2002,"19,00",,"1,60","19,05"
65º,21/11/2001,,22/11/2001 - 19/12/2001,"19,00",,"1,39","19,05"
64º,17/10/2001,,18/10/2001 - 21/11/2001,"19,00",,"1,60","19,05"
63º,19/09/2001,,20/09/2001 - 17/10/2001,"19,00",,"1,32","19,07"
62º,22/08/2001,,23/08/2001 - 19/09/2001,"19,00",,"1,32","19,04"
61º,18/07/2001,,19/07/2001 - 22/08/2001,"19,00",,"1,74","18,96"
60º,20/06/2001,baixa,21/06/2001 - 18/07/2001,"18,25",,"1,34","18,31"
59º,23/05/2001,,24/05/2001 - 20/06/2001,"16,75",,"1,17","16,76"
58º,18/04/2001,,19/04/2001 - 23/05/2001,"16,25",,"1,45","16,30"
57º,21/03/2001,,22/03/2001 - 18/04/2001,"15,75",,"1,11","15,84"
56º,14/02/2001,,15/02/2001 - 21/03/2001,"15,25",,"1,30","15,20"
55º,17/01/2001,,18/01/2001 - 14/02/2001,"15,25",,"1,13","15,19"
54º,20/12/2000,,21/12/2000 - 17/01/2001,"15,75",,"1,05","15,76"
53º,22/11/2000,,23/11/2000 - 20/12/2000,"16,50",,"1,21","16,38"
52º,18/10/2000,,19/10/2000 - 22/11/2000,"16,50",,"1,41","16,56"
51º,20/09/2000,,21/09/2000 - 18/10/2000,"16,50",,"1,16","16,60"
50º,23/08/2000,,24/08/2000 - 20/09/2000,"16,50",,"1,16","16,54"
49º,19/07/2000,,20/07/2000 - 23/08/2000,"16,50",,"1,53","16,51"
48º,,baixa,10/07/2000 - 19/07/2000,"17,00",,"0,50","16,96"
48º,20/06/2000,baixa,21/06/2000 - 07/07/2000,"17,50",,"0,76","17,35"
47º,24/05/2000,,25/05/2000 - 20/06/2000,"18,50",,"1,28","18,39"
46º,19/04/2000,,20/04/2000 - 24/05/2000,"18,50",,"1,57","18,55"
45º,,baixa,29/03/2000 - 19/04/2000,"18,50",,"1,09","18,60"
45º,22/03/2000,baixa,23/03/2000 - 28/03/2000,"19,00",,"0,28","18,94"
44º,16/02/2000,,17/02/2000 - 22/03/2000,"19,00",,"1,59","18,88"
43º,19/01/2000,,20/01/2000 - 16/02/2000,"19,00",,"1,38","18,87"
42º,15/12/1999,,16/12/1999 - 19/01/2000,"19,00",,"1,74","19,00"
41º,10/11/1999,,11/11/1999 - 15/12/1999,"19,00",,"1,67","18,99"
40º,06/10/1999,baixa,07/10/1999 - 10/11/1999,"19,00",,"1,59","18,87"
39º,22/09/1999,,23/09/1999 - 06/10/1999,"19,00",,"0,69","19,01"
38º,01/09/1999,,02/09/1999 - 22/09/1999,"19,50",,"1,00","19,52"
37º,28/07/1999,,29/07/1999 - 01/09/1999,"19,50",,"1,78","19,51"
36º,23/06/1999,baixa,24/06/1999 - 28/07/1999,"21,00",,"1,90","20,88"
35º,,baixa,09/06/1999 - 23/06/1999,"22,00",,"0,87","21,92"
35º,19/05/1999,baixa,20/05/1999 - 08/06/1999,"23,50",,"1,09","23,36"
34º,,baixa,13/05/1999 - 19/05/1999,"27,00",,"0,47","26,96"
34º,,baixa,10/05/1999 - 12/05/1999,"29,50",,"0,31","29,53"
34º,,baixa,29/04/1999 - 07/05/1999,"32,00",,"0,77","31,91"
34º,14/04/1999,baixa,15/04/1999 - 28/04/1999,"34,00",,"1,05","33,92"
33º,,baixa,06/04/1999 - 14/04/1999,"39,50",,"0,93","39,42"
33º,,baixa,25/03/1999 - 05/04/1999,"42,00",,"0,84","41,96"
33º,04/03/1999,baixa,05/03/1999 - 24/03/1999,"45,00",,"2,08","44,95"
32º,18/01/1999,,19/01/1999 - 04/03/1999,"25,00","41,00","3,98","37,34"
31º,16/12/1998,,17/12/1998 - 18/01/1999,"29,00","36,00","2,16","29,21"
30º,11/11/1998,,12/11/1998 - 16/12/1998,"19,00","42,25","3,02","34,93"
29º,07/10/1998,,08/10/1998 - 11/11/1998,"19,00","49,75","3,26","42,12"
28º ex.,10/09/1998,,11/09/1998 - 07/10/1998,"19,00","49,75","2,58","40,18"
27º,02/09/1998,,03/09/1998 - 10/09/1998,"19,00","29,75","0,45","25,49"
26º,29/07/1998,,30/07/1998 - 02/09/1998,"19,75","25,75","1,76","19,25"
25º,24/06/1998,,25/06/1998 - 29/07/1998,"21,00","28,00","1,86","20,45"
24º,20/05/1998,,21/05/1998 - 24/06/1998,"21,75","29,75","1,85","21,23"
23º,15/04/1998,,16/04/1998 - 20/05/1998,"23,25","35,25","1,92","23,16"
22º,04/03/1998,,05/03/1998 - 15/04/1998,"28,00","38,00","2,74","27,51"
21º,28/01/1998,,29/01/1998 - 04/03/1998,"34,50","42,00","2,72","34,20"
20º,17/12/1997,,02/01/1998 - 28/01/1998,"38,00","43,00","2,43","37,47"
19º,19/11/1997,,01/12/1997 - 31/12/1997,"2,90","3,15","2,97","39,87"
18º ex.,30/10/1997,,31/10/1997 - 30/11/1997,"3,05","3,23","3,18","45,67"
17º,22/10/1997,,01/11/1997 - 30/11/1997,"1,00","1,00","3,04","45,90"
16º,17/09/1997,,01/10/1997 - 30/10/1997,"1,58","1,78","1,53","19,05"
15º,20/08/1997,,01/09/1997 - 30/09/1997,"1,58","1,78","1,59","19,81"
14º,23/07/1997,,01/08/1997 - 31/08/1997,"1,58","1,78","1,59","20,78"
13º,18/06/1997,,01/07/1997 - 31/07/1997,"1,58","1,78","1,60","19,04"
12º,21/05/1997,,01/06/1997 - 30/06/1997,"1,58","1,78","1,61","21,08"
11º,16/04/1997,,01/05/1997 - 31/05/1997,"1,58","1,78","1,58","21,91"
10º,19/03/1997,,01/04/1997 - 30/04/1997,"1,58","1,78","1,66","21,84"
9º,19/02/1997,,01/03/1997 - 31/03/1997,"1,62","1,80","1,64","24,11"
8º,22/01/1997,,01/02/1997 - 28/02/1997,"1,66","1,84","1,67","26,14"
7º,18/12/1996,,01/01/1997 - 31/01/1997,"1,70","1,88","1,73","21,73"
6º,27/11/1996,,01/12/1996 - 31/12/1996,"1,74","1,90","1,80","23,94"
5º,23/10/1996,,01/11/1996 - 30/11/1996,"1,78","1,90","1,80","25,27"
4º,23/09/1996,,01/10/1996 - 31/10/1996,"1,82","1,93","1,86","23,48"
3º,21/08/1996,,01/09/1996 - 30/09/1996,"1,88",,"1,90","25,40"
2º,30/07/1996,,01/08/1996 - 31/08/1996,"1,90",,"1,97","25,01"
1º,26/06/1996,,01/07/1996 - 31/07/1996,"1,90",,"1,93","23,28"
